Name,Group,Organization,Link,Date
Advanced Python,Programming,LinkedIn,https://www.linkedin.com/learning/certificates/9f4afa655093e938410cf96f49b630c0c34d194558ba434325f1339765f60198,Oct-23
Building Tools with Python,Programming,LinkedIn,https://www.linkedin.com/learning/certificates/b19d5924c493771ea297e21f1f1f062cb52f3c2a5044242be8b84d9087877aa8,Oct-23
Building the Classic Snake Game with Python,Programming,LinkedIn,https://www.linkedin.com/learning/certificates/6c992ad752c3d45659eb0d28c97127d81e39f16c72dc4156bac7e7bc19b00b98,Oct-23
CSS,Programming,HackerRank,https://www.hackerrank.com/certificates/03d715534829,Oct-23
Critical Thinking,General Mindset,LinkedIn,https://www.linkedin.com/learning/certificates/1647bb08a3d218b7a8a099dd7174ecf42eeb1f8602d0e22ff342f520dcb9e577,Oct-23
Data Ingestion with Python,Programming,LinkedIn,https://www.linkedin.com/learning/certificates/2ae619734769338f3e2077ec19661f481123b86edac7091b33186ee7e786b711,Oct-23
Data Visualization: Storytelling,Data Visualization,LinkedIn,https://www.linkedin.com/learning/certificates/37c6eabf6e8677cc428826d6d13d45e2fa378677c2183bf6d9031f20175fc2ff,Oct-23
Developing a Learning Mindset,General Mindset,LinkedIn,https://www.linkedin.com/learning/certificates/d5d6aa48cdc8a4d815ce683212d554dc2b0172667fe1e694fbd1061bacdde321,Oct-23
Generative AI: The Evolution of Thoughtful Online Search,Technology,LinkedIn,https://www.linkedin.com/learning/certificates/6323d5a0ab74f3e826161670502b95186f469c0c2e36d771dc34976cfba1ba32,Oct-23
Get Ready for Generative AI,Technology,LinkedIn,https://www.linkedin.com/learning/certificates/a6adcb58449fd1360b1afaf67f945bb80c8049c679c68b49f8c2444d649fb30f,Oct-23
"Getting Started with Bard, Google's Experimental AI",Technology,LinkedIn,https://www.linkedin.com/learning/certificates/c78e148c0d7a8112bc1a82fcf95114e2e009c1289f4934fb22760996e7bf9106,Oct-23
Hands-On Introduction: Python,Programming,LinkedIn,https://www.linkedin.com/learning/certificates/9e08823bee271c0bc307f47de2e470b9d5f8e5dda9c823ef77a76d7c46defe48,Oct-23
Learning Data Science: Tell Stories With Data,Data Analysis,LinkedIn,https://www.linkedin.com/learning/certificates/e6d0cc711b3512c091cec25dbc7130c1944cf8b7b0536c941888d41749cfd762,Oct-23
Learning Data Visualization,Data Visualization,LinkedIn,https://www.linkedin.com/learning/certificates/e0b3fcbf5ed8bd60b73d05a181c840c3d0f1de39921394d0e5c2dfcafa435d7f,Oct-23
Learning Python Generators,Programming,LinkedIn,https://www.linkedin.com/learning/certificates/62f2e30fd96a9c10df81d79ba60edff24da99b05ad39fa48759e935cad5f2945,Oct-23
Learning VBA in Excel,Programming,LinkedIn,https://www.linkedin.com/learning/certificates/e49492cda28312d84731a6668cae64e024e98f24a1fc90ac3afdbe9305106e8c,Oct-23
Level Up: Advanced Python,Programming,LinkedIn,https://www.linkedin.com/learning/certificates/3d7a5fbdb30d5c3987c791264255f6a04e38d794dced6dbfffa129b51b02ca3e,Oct-23
Level Up: Python,Programming,LinkedIn,https://www.linkedin.com/learning/certificates/5d620870173670f8e5e2fbd45c54a7b945585e9435c24e1babaac8d77d145cba,Oct-23
Practice It: Python Data Structures,Programming,LinkedIn,https://www.linkedin.com/learning/certificates/709c8dd468841c62d46f072741c7e831a97a58fd083eb3c91791f46123531387,Oct-23
Problem Solving (Basic),Programming,HackerRank,https://www.hackerrank.com/certificates/5cd5939da26e,Oct-23
Problem Solving (Intermediate),Programming,HackerRank,https://www.hackerrank.com/certificates/273a09571fb3,Oct-23
Processing Text with Python Essential Training,Programming,LinkedIn,https://www.linkedin.com/learning/certificates/937330d72627478642c6b0aef4c8e0db5942e9bb0b14dfa61e79ce1751b8b739,Oct-23
Python (Basic),Programming,HackerRank,https://www.hackerrank.com/certificates/fd99763c5292,Oct-23
Python Data Science Mistakes to Avoid,Data Analysis,LinkedIn,https://www.linkedin.com/learning/certificates/54477ce812952a5349afaad2c82cc694b2f484c767ea9d15cd6d5485d0c34035,Oct-23
Python Essential Libraries,Programming,LinkedIn,https://www.linkedin.com/learning/certificates/39c56b170219e8fefac3bd90c633ffbd0f10015e31d0cd45b6ba0ff417b3b30d,Oct-23
Python Object-Oriented Programming,Programming,LinkedIn,https://www.linkedin.com/learning/certificates/3e5c735691301c3d30121ace95423a4490c3fef4af6b440cd6c6e729eabb3cf2,Oct-23
Python Practice: Collections,Programming,LinkedIn,https://www.linkedin.com/learning/certificates/55eb4088fd8ff67947a9b745ace2c0f988d26e20bc7fb7d9e862b6d20c413197,Oct-23
Python Practice: Object-Oriented Programming,Programming,LinkedIn,https://www.linkedin.com/learning/certificates/fbeaa74c33ebf314b2227220110575099ab8fef92d12fe102477fadbf2614d6d,Oct-23
Python Practice: Operations,Programming,LinkedIn,https://www.linkedin.com/learning/certificates/011faba58476fac8daffd03ddc74ec4fd765ed146c49325503519d6d26b04e4b,Oct-23
Python Practice: Real-World Coding Challenges,Programming,LinkedIn,https://www.linkedin.com/learning/certificates/8017eb1be063f50a49f087153e0e3f0ec554cb0368da68832f8b8c77ec4a83d1,Oct-23
Python Projects: Create an Interactive Quiz Application,Programming,LinkedIn,https://www.linkedin.com/learning/certificates/f86ec6734e8cb2e7e5a756c2409cac9542930c66297c84b54da7c7a91598f8f7,Oct-23
Python in Excel,Programming,LinkedIn,https://www.linkedin.com/learning/certificates/745dea2883eb2c5d90447a7ccd622b4ed4abfb5771275f55e108cb110e7d11f0,Oct-23
Python: Decorators,Programming,LinkedIn,https://www.linkedin.com/learning/certificates/1d3a44870b550d9abc461d572cb855b2f77f8e4453a602e5503954cbe0f1eaa0,Oct-23
Reinforcement Learning Foundations,Technology,LinkedIn,https://www.linkedin.com/learning/certificates/46f965420458b45a436820726a609bacf84d8653846ed53a98ad87eb4632cbc3,Oct-23
SQL Practice: Basic Queries,Data Analysis,LinkedIn,https://www.linkedin.com/learning/certificates/e9ee88eec4310d57d5f47209dcd66257f53a8b2b6ba3c3fd4fae714ed21b0a1c,Oct-23
Top 10 Skills for BI Developers,Data Analysis,LinkedIn,https://www.linkedin.com/learning/certificates/9f4cb09894d8592d1ae02cc281ccd51bd42c826f3c1b4dbe47e3aaa738e349ba,Oct-23
Using Python for Automation,Programming,LinkedIn,https://www.linkedin.com/learning/certificates/ea6d3ed2af5e5fb3e7740c8c74385be5b18b53394bebaaa568dc11468a5094ac,Oct-23
Using Python with Excel,Programming,LinkedIn,https://www.linkedin.com/learning/certificates/54aceadfbf12adc8ae05f18de24b2bb3bc8560c9f57baf0dd3c093d33549c727,Oct-23
Visual Studio Code for Python Developers,Programming,LinkedIn,https://www.linkedin.com/learning/certificates/be7ef0e771580586e82ce1ce40c4da482a0c0a84f5aa839d1a724fd2d8290395,Oct-23
What Is Generative AI?,Technology,LinkedIn,https://www.linkedin.com/learning/certificates/38435754ab6c61ea513cfb6adb42de758d710460d0aca78f94f1b28e7c5635cf,Oct-23
Shop Floor Management,Manufacturing,Mercedes-Benz Vietnam,,Sep-23
Analyze Data to Answer Questions,Data Analysis,Coursera,https://www.coursera.org/account/accomplishments/certificate/JNHLJFL2GNZY,May-23
Ask Questions to Make Data-Driven Decisions,Data Analysis,Coursera,https://www.coursera.org/account/accomplishments/certificate/ZAA4VPP7QNKD,May-23
Data Analysis with R Programming,Data Analysis,Coursera,https://www.coursera.org/account/accomplishments/certificate/TKWT2EZGFWKW,May-23
"Foundations: Data, Data, Everywhere",Data Analysis,Coursera,https://www.coursera.org/account/accomplishments/certificate/XXHWZFMC8PZA,May-23
Google Data Analytics Capstone: Complete a Case Study,Data Analysis,Coursera,https://www.coursera.org/account/accomplishments/certificate/RW26TVNBKDRH,May-23
Google Data Analytics Specialization,Data Analysis,Coursera,https://www.coursera.org/account/accomplishments/specialization/certificate/DQ89UDJZRUX7,May-23
Machine Learning,Data Analysis,Coursera,https://www.coursera.org/account/accomplishments/certificate/YVTE894XCM2T,May-23
Prepare Data for Exploration,Data Analysis,Coursera,https://www.coursera.org/account/accomplishments/certificate/Q4JL954TWMDW,May-23
Process Data from Dirty to Clean,Data Analysis,Coursera,https://www.coursera.org/account/accomplishments/certificate/88PFNFCLXM5W,May-23
